사투리,표준어
아마 비싸기 때문에 제가 자주 못 먹어서 더 좋아하는 거 같아요.,아마 비싸기 때문에 제가 자주 못 먹어서 더 좋아하는 거 같아요.
저도 곱창 좋아하는데요.,저도 곱창 좋아하는데요.
저는 소 곱창은 아직 한 번도 안 먹어 봤고 돼지 곱창만 먹어봤는데,저는 소 곱창은 아직 한 번도 안 먹어 봤고 돼지 곱창만 먹어봤는데
소 곱창을 먹어 보고 싶은데 저는 보통 이케 뭐지 나가서 먹는 거는,소 곱창을 먹어 보고 싶은데 저는 보통 이렇게 뭐지 나가서 먹는 거는
가족들이랑 제일 많이 가거든요.,가족들이랑 제일 많이 가거든요.
근데 어머니께서 채식주의자이셔 셔서,근데 어머니께서 채식주의자이셔 셔서
그~ 곱창을 아직 한 소 곱창은,그~ 곱창을 아직 한 소 곱창은
아직 아직 한 번도 안 먹어봤어요.,아직 아직 한 번도 안 먹어봤어요.
아무래도 가족이 다 먹을 수 있는 거를 주 메뉴로 많이 먹다보니깐,아무래도 가족이 다 먹을 수 있는 거를 주 메뉴로 많이 먹다보니깐
맛이 그래서 궁금해요.,맛이 그래서 궁금해요.
어머니가 채식주의자시면 그럼 외식할 때마다 그럼 고기를 아~ 다들 가족이 잘 안 먹는 거예요?,어머니가 채식주의자시면 그럼 외식할 때마다 그럼 고기를 아~ 다들 가족이 잘 안 먹는 거예요?
아니요 고기는 잘 먹는데 이케 어머니는 구워 주시는 담당이시고,아니요 고기는 잘 먹는데 이렇게 어머니는 구워 주시는 담당이시고
그리고 제가 남동생이 있어서 엄마 아빠 남동생 이렇게 세 명이서 보통 먹고,그리고 제가 남동생이 있어서 엄마 아빠 남동생 이렇게 세 명이서 보통 먹고
아니면은 이케 만약에 남동생이 없거나 이렇게 입이 약간 줄었을 때는,아니면은 이렇게 만약에 남동생이 없거나 이렇게 입이 약간 줄었을 때는
어머니한테 아무래도 맞추는 편이어가지고,어머니한테 아무래도 맞추는 편이어가지고
보통 해물 관련 음식을 먹거나,보통 해물 관련 음식을 먹거나
아니면은 이케 고기는 최대한 없는 걸로 먹고 있습니다.,아니면은 이렇게 고기는 최대한 없는 걸로 먹고 있습니다.
아~ 저는 채식주의자가,아~ 저는 채식주의자가
살면서 한번도 제가 본 적이 없어가지고 말만 들었지,살면서 한번도 제가 본 적이 없어가지고 말만 들었지
근데 요새 채식을 하시는 분들이 되게 많잖아요.,근데 요새 채식을 하시는 분들이 되게 많잖아요.
어~ 캐서 옆에 어~ 주변 사람으로 있으면,어~ 해서 옆에 어~ 주변 사람으로 있으면
그럼 저도 그 메뉴 선택에 영향을 받게 되잖아요.,그럼 저도 그 메뉴 선택에 영향을 받게 되잖아요.
나만 고기 먹고 있을 수 없으니까,나만 고기 먹고 있을 수 없으니까
당연히 뭐 삼겹살이나 뭐 곱창 이런 데 못 가는 거고 이 사람이랑은 치킨도 같이 못 먹는 거고,당연히 뭐 삼겹살이나 뭐 곱창 이런 데 못 가는 거고 이 사람이랑은 치킨도 같이 못 먹는 거고
되게 많은 제약이 있겠다라는 생각을 했었거든요.,되게 많은 제약이 있겠다라는 생각을 했었거든요.
어~ 어머니는 처음부터 채식하신 거예요?,어~ 어머니는 처음부터 채식하신 거예요?
근데 저희 어머니는 그니까 옛날 분이시잖아요 어머니가 특히 저를 늦게 낳으셔서 쫌 나이가 많으시거든요.,근데 저희 어머니는 그러니까 옛날 분이시잖아요 어머니가 특히 저를 늦게 낳으셔서 조금 나이가 많으시거든요.
그래서 옛날에는 고기가 좀 엄청 쫌 구하기 힘들었다고 해야 되나?,그래서 옛날에는 고기가 좀 엄청 조금 구하기 힘들었다고 해야 되나?
아~ 비쌌다고 해야 하나 암튼 쫌 그래가지고,아~ 비쌌다고 해야 하나 암튼 조금 그래가지고
그런 것 때문도 있는데 엄마는 제가 봤을 때는 그냥,그런 것 때문도 있는데 엄마는 제가 봤을 때는 그냥
냄새 맡는 걸 되게 싫어할 그~ 고기 특유의 냄새를 저도 좀 안 좋아하는데 그거를,냄새 맡는 걸 되게 싫어할 그~ 고기 특유의 냄새를 저도 좀 안 좋아하는데 그거를
그게 싫어서 안 먹는 거라서,그게 싫어서 안 먹는 거라서
딱히 요즘 채식주의자분들처럼 뭐 고기가 불쌍해서?,딱히 요즘 채식주의자분들처럼 뭐 고기가 불쌍해서?
이런 류는 아니어서서,이런 류는 아니어서서
어~ 만약에 냄새가 별로 안 난다.,어~ 만약에 냄새가 별로 안 난다.
아니면 쌈장을 엄청나게 이케 많이 해서 이케 냄새를 묻어버린다.,아니면 쌈장을 엄청나게 이렇게 많이 해서 이렇게 냄새를 묻어버린다.
이러면은 드실 수 있는 정도 채식주의자셔서,이러면은 드실 수 있는 정도 채식주의자셔서
그렇게 크게 불편한 건 없는 것 같아요.,그렇게 크게 불편한 건 없는 것 같아요.
그리고 아까 그~ 프랜차이즈 중에 맛있는 데 아는 데 어디예요?,그리고 아까 그~ 프랜차이즈 중에 맛있는 데 아는 데 어디예요?
저는 아~ 이것도 고깃집인데 그~ &company-name1&라고,저는 아~ 이것도 고깃집인데 그~ &company-name1&라고
전 거기가 되게 맛있더라고요.,전 거기가 되게 맛있더라고요.
예전에 남자 친구랑 같이 가서 먹었는데 되게 맛있어서 거기를 좋아합니다.,예전에 남자 친구랑 같이 가서 먹었는데 되게 맛있어서 거기를 좋아합니다.
가보셨나요?,가보셨나요?
저는 소문만 들었어요 &company-name1&,저는 소문만 들었어요 &company-name1&
예전에 줄 막 서 있고 아직도 줄 서 있어요?,예전에 줄 막 서 있고 아직도 줄 서 있어요?
저는 근데 서면 쪽으로 간 게 아니어가지고,저는 근데 서면 쪽으로 간 게 아니어가지고
제가 갔는 데는 사람이 그렇게 솔직히 많지는 않아가지고 줄 서 본 적이 없어서 잘 모르겠습니다.,제가 갔는 데는 사람이 그렇게 솔직히 많지는 않아가지고 줄 서 본 적이 없어서 잘 모르겠습니다.
어~ &company-name1&,어~ &company-name1&
어~ 요리하는 건 좋아하세요?,어~ 요리하는 건 좋아하세요?
어~ 저는 냉동식품 아니면은 요리를 해 본 적이 없어가지고,어~ 저는 냉동식품 아니면은 요리를 해 본 적이 없어가지고
음~ 네 별로 좋아하진 않는 것 같습니다.,음~ 네 별로 좋아하진 않는 것 같습니다.
혹시 요리 좋아하시나요?,혹시 요리 좋아하시나요?
아~ 저는 요리는 할 줄은 아는데,아~ 저는 요리는 할 줄은 아는데
어~ 요리를 어~ 잘 해야겠다는 생각이 없어서,어~ 요리를 어~ 잘 해야겠다는 생각이 없어서
그니까 이게 제가 어~ 저는 밑에 동생 두 명이 있거든요?,그러니까 이게 제가 어~ 저는 밑에 동생 두 명이 있거든요?
그니까 동생이 두 명이 있고 부모님 두 분 다 맞벌이하셔가지고 어렸을 때부터 제가 이제 요리하고 동생들 챙겨주는 역할을 했었는데,그러니까 동생이 두 명이 있고 부모님 두 분 다 맞벌이하셔가지고 어렸을 때부터 제가 이제 요리하고 동생들 챙겨주는 역할을 했었는데
한데 쫌 이게 그렇잖아요.,한데 조금 이게 그렇잖아요.
잘하는 사람한테 계속 몰아주게 되잖아요?,잘하는 사람한테 계속 몰아주게 되잖아요?
근데 이게 좋은 거 같지가 않은 거예요.,근데 이게 좋은 거 같지가 않은 거예요.
또 특히 제가 여자니까,또 특히 제가 여자니까
어~ 여자는 요리를 잘 해야 되고 조신해야 되고 여기에 점점 맞춰지는 것 같아가지고,어~ 여자는 요리를 잘 해야 되고 조신해야 되고 여기에 점점 맞춰지는 것 같아가지고
이제는 요리를 안하려고 노력을 하고 있고,이제는 요리를 안하려고 노력을 하고 있고
그리고 어~ 요리법도 대부분 까먹었고,그리고 어~ 요리법도 대부분 까먹었고
네 그러고 있어요.,네 그러고 있어요.
그러면 혹시 싫어하는 음식이나 아니면은 못 먹는 음식 이런 거 있으신가요?,그러면 혹시 싫어하는 음식이나 아니면은 못 먹는 음식 이런 거 있으신가요?
저 매운 거 못 먹고 매운 거 싫어하고,저 매운 거 못 먹고 매운 거 싫어하고
짜고 매운 거 되게 싫어해요.,짜고 매운 거 되게 싫어해요.
그래서 요새 애들 &company-name2&?,그래서 요새 애들 &company-name2&?
뭐 &company-name3&?,뭐 &company-name3&?
어~ 그리고 불닭볶음면?,어~ 그리고 불닭볶음면?
어~ 진짜 애들 그거 왜 먹는 건지,어~ 진짜 애들 그거 왜 먹는 건지
어우 그래서 제가 그런 거 먹으면 위장이 다 상한다고,어우 그래서 제가 그런 거 먹으면 위장이 다 상한다고
뭐라고 하는데 맛있다고 잘 먹더라고요.,뭐라고 하는데 맛있다고 잘 먹더라고요.
그리고 닭 그~ 닭발 닭발 먹자고 하는데,그리고 닭 그~ 닭발 닭발 먹자고 하는데
어우 진짜 그거 돈 내면서 왜 먹어야 되는지 모르겠고 그~ 전 그래요.,어우 진짜 그거 돈 내면서 왜 먹어야 되는지 모르겠고 그~ 전 그래요.
저는 되게 좋아하거든요 그리고 제가 아까 말했듯이 냉동식품 좋아한다 그랬잖아요.,저는 되게 좋아하거든요 그리고 제가 아까 말했듯이 냉동식품 좋아한다 그랬잖아요.
그래서 아~ 그래서 요리하는 것도 잘 모르고 이래서 거의 배달 음식 시켜먹는 거 좋아하는데,그래서 아~ 그래서 요리하는 것도 잘 모르고 이래서 거의 배달 음식 시켜먹는 거 좋아하는데
제일 많이 먹는 게 &company-name2&이랑 그~ 닭발 저희 동네 진짜 유명한 닭발 집 있거든요.,제일 많이 먹는 게 &company-name2&이랑 그~ 닭발 저희 동네 진짜 유명한 닭발 집 있거든요.
그 집이 거의 사람도 앉을 수 없을 정도로,그 집이 거의 사람도 앉을 수 없을 정도로
한 테이블 있었나 그 정도로,한 테이블 있었나 그 정도로
손님을 받을 수 없을 공간이었는데,손님을 받을 수 없을 공간이었는데
완전 대성해서 지금은 건물주가 되셨거든 거기 사 층 건물 거기 다 닭발 집,완전 대성해서 지금은 건물주가 되셨거든 거기 사 층 건물 거기 다 닭발 집
그 정도로 있는데 다음에 혹시 먹으실 의향 있으면 가 보세요.,그 정도로 있는데 다음에 혹시 먹으실 의향 있으면 가 보세요.
혹시 집이 수영이세요?,혹시 집이 수영이세요?
네 맞아요.,네 맞아요.
&company-name4&,&company-name4&
맞아요  가보셨나요?,맞아요  가보셨나요?
아니요 저 지나다니면서 보기만 했는데 제가,아니요 저 지나다니면서 보기만 했는데 제가
중학교 때 학교가 그 근처였어가지고 집은 서면 근처인데,중학교 때 학교가 그 근처였어가지고 집은 서면 근처인데
그래서 버스타고 이케 막 맨날 왔다 갔다 했었거든요.,그래서 버스타고 이렇게 막 맨날 왔다 갔다 했었거든요.
어렸을 때부터 이제 봤는데 언제부턴지 모르겠는데 암튼 &company-name4&이,어렸을 때부터 이제 봤는데 언제부턴지 모르겠는데 암튼 &company-name4&이
예전부터 거기 있었어요.,예전부터 거기 있었어요.
근데 몇 년 전부터,근데 몇 년 전부터
건물을 세우더니 건물이 통채로,건물을 세우더니 건물이 통채로
&company-name4&이 된 거예요.,&company-name4&이 된 거예요.
또 유명하다고 하니까,또 유명하다고 하니까
그게 처음에는 수영이 아니고 연제구에 있었거든요.,그게 처음에는 수영이 아니고 연제구에 있었거든요.
연제구에서 진짜 엄청 작았어요 진짜 거의 포장마차 수준이어서,연제구에서 진짜 엄청 작았어요 진짜 거의 포장마차 수준이어서
근데 사람은 되게 줄 서 있어서 저도 궁금해서 엄마 아빠한테 다음에 올 때 한 번만 사줘 이렇게 해서,근데 사람은 되게 줄 서 있어서 저도 궁금해서 엄마 아빠한테 다음에 올 때 한 번만 사줘 이렇게 해서
처음 먹어 봤는데 그게 어느 날 수영에 온 거예요 전 너무 좋아가지고,처음 먹어 봤는데 그게 어느 날 수영에 온 거예요 전 너무 좋아가지고
거기 처음에 이제 막  수영에 처음 들어왔을 때?,거기 처음에 이제 막  수영에 처음 들어왔을 때?
그때 제 친구들한테 다 말을 해서 그때 제가 고등학생이었나 중학생이었는데,그때 제 친구들한테 다 말을 해서 그때 제가 고등학생이었나 중학생이었는데
친구들 다 데려가가지고,친구들 다 데려가가지고
제 친구들도 다 맛있다 하더라고요 거기,제 친구들도 다 맛있다 하더라고요 거기
그래서 거기 내 친구들한테 이케 소개시켜 준 기억이 있습니다.,그래서 거기 내 친구들한테 이렇게 소개시켜 준 기억이 있습니다.
저 근데 그~ 궁금한 게 닭발을 무슨 맛으로 먹어요?,저 근데 그~ 궁금한 게 닭발을 무슨 맛으로 먹어요?
씹어 먹을 것도 없잖아요.,씹어 먹을 것도 없잖아요.
그게 바로 그 맛이에요 그~ 씹어 먹을 거 없는데 이렇게,그게 바로 그 맛이에요 그~ 씹어 먹을 거 없는데 이렇게
살을 발골하는 그~ 맛이,살을 발골하는 그~ 맛이
엄청 맛있고 특히 이제 성인 돼서 소주랑 먹었을 때 저는 긍까,엄청 맛있고 특히 이제 성인 돼서 소주랑 먹었을 때 저는 그러니까
성인 되기 전부터 좋아했지만 소주랑 먹은 거는 성인 되고 나선데 소주랑 먹으니까 제가 원래,성인 되기 전부터 좋아했지만 소주랑 먹은 거는 성인 되고 나선데 소주랑 먹으니까 제가 원래
알콜을 별로 잘 못 마시는데,알콜을 별로 잘 못 마시는데
많이 마셔야 반 잔 이 정도 마시는데,많이 마셔야 반 잔 이 정도 마시는데
그때 이후로 닭발을 처음 먹은 이후로 소주를 두 병 마셔봤어요.,그때 이후로 닭발을 처음 먹은 이후로 소주를 두 병 마셔봤어요.
정말 안주로 최고인 거 같더라고요.,정말 안주로 최고인 거 같더라고요.
근데 닭발 보면 살이 전혀 없잖아요.,그러니까 닭발 보면 살이 전혀 없잖아요.
근데 어떻게 살을 발라먹어요?,근데 어떻게 살을 발라먹어요?
그~ 이렇게 손바닥이라고 해야 돼 아~ 닭발이 있으면은,그~ 이렇게 손바닥이라고 해야 돼 아~ 닭발이 있으면은
이기 뒷면 말고 뒷면 뼈 있는 부분 말고,이게 뒷면 말고 뒷면 뼈 있는 부분 말고
이게 바닥 쪽에 보면은 엄청 통통한 부분 있거든요.,이게 바닥 쪽에 보면은 엄청 통통한 부분 있거든요.
보통 거기로 해서 이렇게 발굴을  하면은 발굴이 되게 잘됩니다.,보통 거기로 해서 이렇게 발굴을  하면은 발굴이 되게 잘됩니다.
아~ 그러면 양념이랑 그~ 거기 부분 살을 먹는 맛이네요.,아~ 그러면 양념이랑 그~ 거기 부분 살을 먹는 맛이네요.
아~ 그러면 나머지는 다 뼈네요.,아~ 그러면 나머지는 다 뼈네요.
네 거의 뼈고 그리고,네 거의 뼈고 그리고
닭발 처음에 이게 입문하기 힘들면 무뼈도 되게 맛있거든요.,닭발 처음에 이게 입문하기 힘들면 무뼈도 되게 맛있거든요.
무 무 뼈,무 무 뼈
뼈가 없이 이케 나온 그런 것도 많아서 그런 걸로 한번 도전해보면 괜찮을 것 같애요.,뼈가 없이 이렇게 나온 그런 것도 많아서 그런 걸로 한번 도전해보면 괜찮을 것 같애요.
닭발인데 뼈가 없어요?,닭발인데 뼈가 없어요?
그게 왜 저도 없는지 모르겠는데,그게 왜 저도 없는지 모르겠는데
뭐~ 인터넷에 검색 보면 오히려 안 그거 있잖아요.,뭐~ 인터넷에 검색 보면 오히려 안 그거 있잖아요.
닭도 그냥 뼈 있는 닭 말고 순살,닭도 그냥 뼈 있는 닭 말고 순살
순살도 막 이케 약간 안 좋다는 말 있잖아요 인공적으로 녹인다 이런 말 있듯이,순살도 막 이렇게 약간 안 좋다는 말 있잖아요 인공적으로 녹인다 이런 말 있듯이
닭발도 그런 건지 모르겠는데 엄청 아예 없었던 것처럼,닭발도 그런 건지 모르겠는데 엄청 아예 없었던 것처럼
완전 쏙 뼈만 빼서 이렇게 나오더라고요.,완전 쏙 뼈만 빼서 이렇게 나오더라고요.
닭발 맵지요?,닭발 맵지요?
근데 안 매운 것도 있는 걸로 알고 있어요.,근데 안 매운 것도 있는 걸로 알고 있어요.
저는 애초에 매운 걸 좋아해서 일부러 골라가는 편이어가지고,저는 애초에 매운 걸 좋아해서 일부러 골라가는 편이어가지고
안 매운 거는 안 먹어봤는데 아마 안 매운 것도 있는 걸로 알고 있어요.,안 매운 거는 안 먹어봤는데 아마 안 매운 것도 있는 걸로 알고 있어요.
매운 건 언제부터 잘 드셨어요?,매운 건 언제부터 잘 드셨어요?
저는 딱히 언제부터다 이런 건 없는데,저는 딱히 언제부터다 이런 건 없는데
불닭볶음면 처음에 나왔을 때,불닭볶음면 처음에 나왔을 때
사람들이 말하기론 그때가 제일 매웠다고 하더라고요 이렇게,사람들이 말하기론 그때가 제일 매웠다고 하더라고요 이렇게
쫌 시간이 지나면서 사람들이 항의를 좀 했대요 불닭볶음면 왜 이렇게 맵냐,조금 시간이 지나면서 사람들이 항의를 좀 했대요 불닭볶음면 왜 이렇게 맵냐
솔직히 안 먹으면 될 거 같은데 그런 사람들이 항의를 했대요.,솔직히 안 먹으면 될 거 같은데 그런 사람들이 항의를 했대요.
그래가지고 점점 맛이 약해졌다고 하더라고요.,그래가지고 점점 맛이 약해졌다고 하더라고요.
근데 제가 처음에 나왔을 때 먹었었거든요.,근데 제가 처음에 나왔을 때 먹었었거든요.
근데 그때도 솔직히 저는 맵다는 생각을 안 해봤었거든요.,근데 그때도 솔직히 저는 맵다는 생각을 안 해봤었거든요.
그래서 원래 잘 먹었나?,그래서 원래 잘 먹었나?
에~ 그거 아니면 솔직히 언제부터 매운 거 좋아했는지는 모르겠어요.,에~ 그거 아니면 솔직히 언제부터 매운 거 좋아했는지는 모르겠어요.
원래 입맛이 약간 네 매운 걸 좋아하는 입맛이었던 거 같아요.,원래 입맛이 약간 네 매운 걸 좋아하는 입맛이었던 거 같아요.
그거 드셔보셨어요?,그거 드셔보셨어요?
&company-name5& 아니면 실비김치 아시죠 도로시 그거 드셔보셨어요?,&company-name5& 아니면 실비김치 아시죠 도로시 그거 드셔보셨어요?
아~ 저는 부모님께서 이케 별로 이렇게 그런 걸 안 좋아하세요 이렇게,아~ 저는 부모님께서 이렇게 별로 이렇게 그런 걸 안 좋아하세요 이렇게
시켜 먹는 거?,시켜 먹는 거?
이런 걸 안 좋아하셔서 배달 음식도 몰래 시켜 먹거든요.,이런 걸 안 좋아하셔서 배달 음식도 몰래 시켜 먹거든요.
근데 이케 &company-name5&이나 김치 이런 거는,근데 이렇게 &company-name5&이나 김치 이런 거는
양이 커서 안 들킬 수가 없는 거예요.,양이 커서 안 들킬 수가 없는 거예요.
그래서 애초에 도전해 볼 생각도 안 하고 있습니다.,그래서 애초에 도전해 볼 생각도 안 하고 있습니다.
그럼 그거 드셔보셨어요 범일동에 매운 떡볶이 있잖아요.,그럼 그거 드셔보셨어요 범일동에 매운 떡볶이 있잖아요.
아~ 아세요 포장마차 있는 거?,아~ 아세요 포장마차 있는 거?
그거도 들어 봤는데 제가,그거도 들어 봤는데 제가
집순이어서 나가는 걸 별로 안 좋아해서 수영 근처 아니면은 아~ 많이 나가도 경성대?,집순이어서 나가는 걸 별로 안 좋아해서 수영 근처 아니면은 아~ 많이 나가도 경성대?
이쪽이라서 저는 서면 넘어서 이 라인은 한번도 가본 적이 없어요.,이쪽이라서 저는 서면 넘어서 이 라인은 한번도 가본 적이 없어요.
