사투리,표준어
부모님 쓰는 거 보니까,부모님 쓰는 거 보니까
삼성페이가 되게 좋아 보이더라고?,삼성페이가 되게 좋아 보이더라고?
그래서 갤럭시 한 번 써보고도 싶다.,그래서 갤럭시 한 번 써보고도 싶다.
그리고 요즘은 되게 잘 나오더라고 제트플립?,그리고 요즘은 되게 잘 나오더라고 제트플립?
그런 것도 엄청 예쁘게 잘 나왔고,그런 것도 엄청 예쁘게 잘 나왔고
노트도 이번이 아마 마지막으로 낸다고 하더라고?,노트도 이번이 아마 마지막으로 낸다고 하더라고?
그래서 한번 써보고 싶기도 한데?,그래서 한번 써보고 싶기도 한데?
또 막상 겁도 나고 근데 아직 뭐 내 휴대폰이,또 막상 겁도 나고 근데 아직 뭐 내 휴대폰이
죽지는 않아서 나는 항상,죽지는 않아서 나는 항상
못 쓸 만큼 쓰고 바꾸는 편이라서,못 쓸 만큼 쓰고 바꾸는 편이라서
아직은 크게 바꿀 생각이 없는데,아직은 크게 바꿀 생각이 없는데
글쎄,글쎄
딱 바꿔야 될 때가 오면은,딱 바꿔야 될 때가 오면은
좀고민이 될 거 같긴 해.,좀고민이 될 거 같긴 해.
이전에는 이제 아이폰만,이전에는 이제 아이폰만
항상 그~ 리스트에 두고 생각했는데,항상 그~ 리스트에 두고 생각했는데
글쎄 고민이 고민할 거 같긴 하네,글쎄 고민이 고민할 거 같긴 하네
너 최근에 무선 이어폰,너 최근에 무선 이어폰
딴 걸로 바꿨잖아.,딴 걸로 바꿨잖아.
원래 에어팟 쓰다가?,원래 에어팟 쓰다가?
그거 회사 이름이 뭐야 그거 되게 괜찮다고 했던 거 같은데,그거 회사 이름이 뭐야 그거 되게 괜찮다고 했던 거 같은데
뭐가 좀 달라?,뭐가 좀 달라?
나도 회사 이름은 뭔지 잘 모르겠어.,나도 회사 이름은 뭔지 잘 모르겠어.
언니야 가 새로 에어팟 프로 사면서 받아가지고,언니 가 새로 에어팟 프로 사면서 받아가지고
회사 이름은 아직도 모르겠어.,회사 이름은 아직도 모르겠어.
모르겠고 그냥 약간 중소기업 외국 중소기업 건 거 같은데,모르겠고 그냥 약간 중소기업 외국 중소기업 건 거 같은데
에어팟 일이랑 비교했을 때 나쁘지 않은 거 같애.,에어팟 일이랑 비교했을 때 나쁘지 않은 거 같애.
근데 에어팟도 쓰면서 통화,근데 에어팟도 쓰면서 통화
할 때 통화 음질이 너무 안 좋았기 때문에 이것도 통화 음질이 별로 안 좋아서,할 때 통화 음질이 너무 안 좋았기 때문에 이것도 통화 음질이 별로 안 좋아서
마찬가지인 거 같고,마찬가지인 거 같고
듣는 데 노래 듣는 데는 별로 둘 다 문제가 없어서 가격이 거의,듣는 데 노래 듣는 데는 별로 둘 다 문제가 없어서 가격이 거의
한 열 배 넘게 차이 나니까,한 열 배 넘게 차이 나니까
그렇게 따지면은,그렇게 따지면은
이게 뭐 음악만 들을 거면 통화 많이 안 하고 그런 사람이면,이게 뭐 음악만 들을 거면 통화 많이 안 하고 그런 사람이면
괜찮은 거 같고 음~ 또,괜찮은 거 같고 음~ 또
근데 이게 약간,근데 이게 약간
내가 빼면은 에어팟은 노래가 멈추는데 얘는 빼도 안 멈춰,내가 빼면은 에어팟은 노래가 멈추는데 얘는 빼도 안 멈춰
안 멈추기 때문에 약간 그게 있겠지 기술적인 면이 좀 차이가 있는데,안 멈추기 때문에 약간 그게 있겠지 기술적인 면이 좀 차이가 있는데
빼도 안 멈춰서 이어폰 빼놓고,빼도 안 멈춰서 이어폰 빼놓고
이제,이제
그냥 놔두고 통에 안 넣고 빼놓고,그냥 놔두고 통에 안 넣고 빼놓고
만약에 까먹고 너 통에 안 넣고 딴 일을 한다.,만약에 까먹고 너 통에 안 넣고 딴 일을 한다.
그러면은 얘는 계속 노래 재생되고 있는 거야.,그러면은 얘는 계속 노래 재생되고 있는 거야.
그래서 얘 배터리 계속 닳고,그래서 얘 배터리 계속 닳고
폰도 나중에 뭐 확인해보면 노래 계속 재생되고 있었고,폰도 나중에 뭐 확인해보면 노래 계속 재생되고 있었고
그럼 뭐냐 난 안 듣고 있는데도 얘는 계속 재속 재생되는 있는 거야.,그럼 뭐냐 난 안 듣고 있는데도 얘는 계속 재속 재생되는 있는 거야.
그래서 그게 좀 불편했던 거 같고,그래서 그게 좀 불편했던 거 같고
또 이게,또 이게
전용 충전기가 있는데 그 잭이 아니면 충전이 잘 안 돼.,전용 충전기가 있는데 그 잭이 아니면 충전이 잘 안 돼.
뭔가 맞는 잭이거든?,뭔가 맞는 잭이거든?
맞는 건데 꽂으면,맞는 건데 꽂으면
충전이 더디게 되거나 안돼 근데 얘 전용 충전기 들어 있는 걸로 하면은,충전이 더디게 되거나 안돼 근데 얘 전용 충전기 들어 있는 걸로 하면은
금세 충전되고 그러고 배터리는 내가 봤을 때 에어팟보다 더 오래 가는 거 같애.,금세 충전되고 그러고 배터리는 내가 봤을 때 에어팟보다 더 오래 가는 거 같애.
그래서 음악만 듣고 통화를 잘 안 하니까 카톡하고 문자 하지 통화를 잘 안 하니까,그래서 음악만 듣고 통화를 잘 안 하니까 카톡하고 문자 하지 통화를 잘 안 하니까
그냥 음악만 듣는 데는,그냥 음악만 듣는 데는
문제없는 거 같애 가격도 훨씬 훨씬 저렴하고,문제없는 거 같애 가격도 훨씬 훨씬 저렴하고
어~ 음질도 괜찮고 근데 노트북이랑 이제 페어링했을 때,어~ 음질도 괜찮고 근데 노트북이랑 이제 페어링했을 때
한쪽이 찌직 거리면서 약간 끊겼다 연결됐다 끊겼다 연결됐다 이러는 게 약간 멀미 날 거 같고,한쪽이 찌직 거리면서 약간 끊겼다 연결됐다 끊겼다 연결됐다 이러는 게 약간 멀미 날 거 같고
좀 안 좋고,좀 안 좋고
나는 커널형을 별로 안 좋아해서,나는 커널형을 별로 안 좋아해서
약간 귀 안에 쏙 들어가니까 그거 때문에 또 먹먹한 느낌 너무 먹먹한 느낌?,약간 귀 안에 쏙 들어가니까 그거 때문에 또 먹먹한 느낌 너무 먹먹한 느낌?
그래서 또,그래서 또
노이즈 캔슬링 안 돼도 길에서 차도 잘 모르고 위험하고 약간 그런 건 있는 거 같애.,노이즈 캔슬링 안 돼도 길에서 차도 잘 모르고 위험하고 약간 그런 건 있는 거 같애.
근데 커널형이다 보니까 또,근데 커널형이다 보니까 또
먹먹하지만 귀는 덜 아파 에어팟보다 에어팟은,먹먹하지만 귀는 덜 아파 에어팟보다 에어팟은
너무 머리 부분이 커가지고 귀가 아파가지고 오래 못 끼고 열도 많이 나는 거 같고,너무 머리 부분이 커가지고 귀가 아파가지고 오래 못 끼고 열도 많이 나는 거 같고
이게 좀 귀 건강이 안 좋은 게 확 느껴지고 그랬는데,이게 좀 귀 건강이 안 좋은 게 확 느껴지고 그랬는데
그냥 음악만 들을 사람이면 음악만 뭐,그냥 음악만 들을 사람이면 음악만 뭐
맨날 이십사 시간 그냥 거의 매일 고막처럼 꼽고 산다 이런 거 아니면,맨날 이십사 시간 그냥 거의 매일 고막처럼 꼽고 산다 이런 거 아니면
그냥 음악만 잠깐 이동할 때 듣고 이런 사람이면 괜찮을 거 같애.,그냥 음악만 잠깐 이동할 때 듣고 이런 사람이면 괜찮을 거 같애.
굳이 에어팟 없어도 될 거 같애.,굳이 에어팟 없어도 될 거 같애.
그냥 선 없는 데서,그냥 선 없는 데서
음악을 듣는 자유로움을 약간 느끼고,음악을 듣는 자유로움을 약간 느끼고
그 정도만 느끼고 싶은 사람이면 괜찮을 거 같애.,그 정도만 느끼고 싶은 사람이면 괜찮을 거 같애.
그 애 갤럭시에서도 이번에,그 애 갤럭시에서도 이번에
그~ 버즈 말고 약간 강낭콩 모양처럼 생긴 거 나왔잖아 혹시 그거 봤어?,그~ 버즈 말고 약간 강낭콩 모양처럼 생긴 거 나왔잖아 혹시 그거 봤어?
응 아니.,응 아니.
버즈 이외 말고도 다른 이름으로도 나왔던가?,버즈 이외 말고도 다른 이름으로도 나왔던가?
글쎄 나는 아직 못 봤어.,글쎄 나는 아직 못 봤어.
이게 나도 항상 인제 쓰는 거 아직 고장 안 나가지구,이게 나도 항상 인제 쓰는 거 아직 고장 안 나가지구
이~ 난 고장 나면 이제 찾아보는 스타일이라가지고 그건 아직 못 봤는데,이~ 난 고장 나면 이제 찾아보는 스타일이라가지고 그건 아직 못 봤는데
버즈도 평이 좋더라고 기회되면 한번 써보고 싶기는 해.,버즈도 평이 좋더라고 기회되면 한번 써보고 싶기는 해.
너 최근에 언니 쓰던 그 애플워치 받았잖아.,너 최근에 언니 쓰던 그 애플워치 받았잖아.
그거 써보니까 어때?,그거 써보니까 어때?
약간 이제,약간 이제
이거의 필요성을 많이 느껴?,이거의 필요성을 많이 느껴?
없으면은 불편하다 이 정도 돼?,없으면은 불편하다 이 정도 돼?
다 언니한테 받는 거 같네?,다 언니한테 받는 거 같네?
근데 언니가 또 이제 시계를 또 새로 사가지고,근데 언니가 또 이제 시계를 또 새로 사가지고
줬는데 그냥 체험 겸,줬는데 그냥 체험 겸
써 보고 나서 새로 살라고 했는데,써 보고 나서 새로 살라고 했는데
이게 이것도 약간 전용 충전기 아니면,이게 이것도 약간 전용 충전기 아니면
충전이 안 되니까 꼽는 게 없고 그냥 뒤에 자석으로 붙이는 거니까,충전이 안 되니까 꼽는 게 없고 그냥 뒤에 자석으로 붙이는 거니까
지금 오늘 충전 안 해가지고 배터리 다 딿아서 꺼졌는데,지금 오늘 충전 안 해가지고 배터리 다 닳아서 꺼졌는데
그냥 시계 기능만 하는 거 같애.,그냥 시계 기능만 하는 거 같애.
시계 기능 그리고 내 시계 기능이 제일 좋은 거고,시계 기능 그리고 내 시계 기능이 제일 좋은 거고
약간 가끔씩 내 심박 수가 이 정도구나 알아가는 정도?,약간 가끔씩 내 심박 수가 이 정도구나 알아가는 정도?
그리고 내가 잘 사용을 활용을 못 해서 그럴 수도 있는데 그리고 이게 첫 번째,그리고 내가 잘 사용을 활용을 못 해서 그럴 수도 있는데 그리고 이게 첫 번째
일 세대다 보니까 카톡에서도,일 세대다 보니까 카톡에서도
이제 지원을 안 하고 이래서 이제 카톡도 못 읽고,이제 지원을 안 하고 이래서 이제 카톡도 못 읽고
문자를 보내면 문자만 읽을 수 있고,문자를 보내면 문자만 읽을 수 있고
또 전화 오는 거 확인 할 수 있고 이래서 되게 업무가 바쁜 사람들 업무 중에 폰 사용 못 하고 이런 사람들은,또 전화 오는 거 확인 할 수 있고 이래서 되게 업무가 바쁜 사람들 업무 중에 폰 사용 못 하고 이런 사람들은
뭐 전화 왔구나 문자,뭐 전화 왔구나 문자
되게 연락 많이 받아야 되고 급한 그런 사람들은 문자 확인하고 전화 확인하고 시간 확인하고 뭐 좋을 거 같고,되게 연락 많이 받아야 되고 급한 그런 사람들은 문자 확인하고 전화 확인하고 시간 확인하고 뭐 좋을 거 같고
운동 많이 하는 사람들은 방수되는 걸로 사면 수영할 때도 몇 미터 했는지,운동 많이 하는 사람들은 방수되는 걸로 사면 수영할 때도 몇 미터 했는지
그리고 뭐 몇 보 걸었는지 뭐 그런 거 이용할 수 있어서 좋을 거 같아.,그리고 뭐 몇 보 걸었는지 뭐 그런 거 이용할 수 있어서 좋을 거 같아.
나는 그냥 시계만 봐서 시계로만,나는 그냥 시계만 봐서 시계로만
근데 또 시계도 안 끼다가 끼니까 이제 폰 보는 거보다는 간편하니까,근데 또 시계도 안 끼다가 끼니까 이제 폰 보는 거보다는 간편하니까
조금 편한 거 같긴 해 근데,조금 편한 거 같긴 해 근데
따로 뭐 그렇게까지 완전 너무 편해가지고 이거 없이 못 살겠다 이런 건 아니고,따로 뭐 그렇게까지 완전 너무 편해가지고 이거 없이 못 살겠다 이런 건 아니고
그래서 약간 비싸기도 비싸고 육 세대 살 거 같지는 않아.,그래서 약간 비싸기도 비싸고 육 세대 살 거 같지는 않아.
그~ 이거 말고,그~ 이거 말고
샤오미 거였나 샤오미 거 워치 있었잖아.,샤오미 거였나 샤오미 거 워치 있었잖아.
아~ 미밴드?,아~ 미밴드?
미밴드 그거 어때?,미밴드 그거 어때?
응 나도 이게,응 나도 이게
편하다고 해서 사봤는데,편하다고 해서 사봤는데
확실히 좀 다른 스마트워치에 비해서는 크기가 작아서,확실히 좀 다른 스마트워치에 비해서는 크기가 작아서
비교적 편 착용감은 편해.,비교적 편 착용감은 편해.
편한데 아무래도 인제 그거는,편한데 아무래도 인제 그거는
뭐 갤럭시 워치나 애플 워치만큼,뭐 갤럭시 워치나 애플 워치만큼
뭐 문자를 보낸다거나 전화를 받는다거나 그거는 안 되지만,뭐 문자를 보낸다거나 전화를 받는다거나 그거는 안 되지만
그냥 이것도 딱 운동용이라던가?,그냥 이것도 딱 운동용이라던가?
아님 나는 공부할 때 인제 타이머용으로 쓰고,아님 나는 공부할 때 인제 타이머용으로 쓰고
잘 때?,잘 때?
그게 알람 기능이 있었던 거 같거든?,그게 알람 기능이 있었던 거 같거든?
그래서 알람으로 쓰고,그래서 알람으로 쓰고
그랬는데,그랬는데
요즘엔 잘 안 써 그게,요즘엔 잘 안 써 그게
이~ 심박동 측정하는 거 때문에 그런지 모르겠는데,이~ 심박동 측정하는 거 때문에 그런지 모르겠는데
그거 쓸 때마다 약간 팔이 좀 약간 저릿저릿한 거 같은 거야.,그거 쓸 때마다 약간 팔이 좀 약간 저릿저릿한 거 같은 거야.
그래서 어~ 이거 몸에 안 좋은가 싶어가지고,그래서 어~ 이거 몸에 안 좋은가 싶어가지고
요즘은 안 낀 지 좀 됐는데,요즘은 안 낀 지 좀 됐는데
근데 뭐 가격 따지고 그냥 한 번,근데 뭐 가격 따지고 그냥 한 번
워치류 전자시계류 한번 써보고 싶다 하면은,워치류 전자시계류 한번 써보고 싶다 하면은
써 보는 것도 나쁘지 않은 거 같애.,써 보는 것도 나쁘지 않은 거 같애.
가격 대비 잘 만든 워치였어.,가격 대비 잘 만든 워치였어.
그~ 너 저번에 노트북 잘 안 된다 그랬잖아.,그~ 너 저번에 노트북 잘 안 된다 그랬잖아.
그거 새로 바꿨어?,그거 새로 바꿨어?
그~ 언니 거는 괜찮고 니 거는 잘 안 된다 했던가?,그~ 언니 거는 괜찮고 니 거는 잘 안 된다 했던가?
어떻게 됐어?,어떻게 됐어?
내 것 옛날 노트북은 안 됐지.,내 것 옛날 노트북은 안 됐지.
안 되고 그거는 거의 고등학교 때 사서,안 되고 그거는 거의 고등학교 때 사서
막 엄청 많이 썼고 하기 때문에 걔는 아예 맛이 갔고,막 엄청 많이 썼고 하기 때문에 걔는 아예 맛이 갔고
사양은 못하고 밀어봤는데도 좀 버벅거려서 안 되고,사양은 못하고 밀어봤는데도 좀 버벅거려서 안 되고
어~ 언니 거는 그나마 언니야 대학생 때 샀기 때문에,어~ 언니 거는 그나마 언니 대학생 때 샀기 때문에
그거보다는 후에 사서 그거 윈도우 쓸려면 그거 쓰고 내 노트북을 새로 샀지 맥북으로,그거보다는 후에 사서 그거 윈도우 쓸려면 그거 쓰고 내 노트북을 새로 샀지 맥북으로
그거 이러니까 너무 앱등이 같은데,그거 이러니까 너무 앱등이 같은데
맥북을 샀는데 너무 사용하는 게,맥북을 샀는데 너무 사용하는 게
그 윈도우만 쓰다 보니까 그리고 은행 어플 같은 것도 다 은행 홈페이지 같은 것도 다 윈도우로만 할 수 있고,그 윈도우만 쓰다 보니까 그리고 은행 어플 같은 것도 다 은행 홈페이지 같은 것도 다 윈도우로만 할 수 있고
그러다 보니까 공인인증서 사용하고 할 때는 계속 그 오래된 컴퓨터를 사용해 돼 그래서 너무 불편하고,그러다 보니까 공인인증서 사용하고 할 때는 계속 그 오래된 컴퓨터를 사용해 돼 그래서 너무 불편하고
근데 약간 영상 보거나,근데 약간 영상 보거나
프로그램 돌리는 거 큰 조금 용량 큰 프로그램 돌리는 거 하거나 할 때는,프로그램 돌리는 거 큰 조금 용량 큰 프로그램 돌리는 거 하거나 할 때는
훨씬 빨라서,훨씬 빨라서
좋은 거 같애.,좋은 거 같애.
근데,근데
비싸고 엄청 무거워 그래서 밖에서 공부할 때는 들고 나가면 좀 너무 어깨 빠질 거 같아서,비싸고 엄청 무거워 그래서 밖에서 공부할 때는 들고 나가면 좀 너무 어깨 빠질 거 같아서
내가 왜 이거 샀지 새로 노트북 바꾸고 싶다.,내가 왜 이거 샀지 새로 노트북 바꾸고 싶다.
훨씬 저렴하고 가벼운 윈도우가 깔린 노트북이 있는데 약간 엘지 거 그램?,훨씬 저렴하고 가벼운 윈도우가 깔린 노트북이 있는데 약간 엘지 거 그램?
살 걸 약간 후회되는 느낌?,살 걸 약간 후회되는 느낌?
왜냐면 우리나라에서는 뭔가 디자인하고 이런 영상 편집하고 이러는 사람 아니면 굳이 맥북 필요 없는 거 같애.,왜냐면 우리나라에서는 뭔가 디자인하고 이런 영상 편집하고 이러는 사람 아니면 굳이 맥북 필요 없는 거 같애.
문서 작업을 주로 많이 하고 공부하고 막 인강 보고 이러면,문서 작업을 주로 많이 하고 공부하고 막 인강 보고 이러면
니 아이패드 있잖아.,너 아이패드 있잖아.
그거 몇이라고 했지 에어 몇이지?,그거 몇이라고 했지 에어 몇이지?
그리고 펜슬도 있다 그랬나?,그리고 펜슬도 있다 그랬나?
응 그거 에어 쓰리?,응 그거 에어 쓰리?
에어 쓰리고 펜슬도 그때 같이 샀는데 확실히 패드는 이제,에어 쓰리고 펜슬도 그때 같이 샀는데 확실히 패드는 이제
펜슬이랑 같이 쓰는 게,펜슬이랑 같이 쓰는 게
패드의 장점을 좀 극대화 시키는 거 같애.,패드의 장점을 좀 극대화 시키는 거 같애.
내 친구도 그냥 패드만 쓰다가 펜슬을 한 좀 뒤늦게 사가지고 썼는데,내 친구도 그냥 패드만 쓰다가 펜슬을 한 좀 뒤늦게 사가지고 썼는데
처음에 패드 쓸 때는,처음에 패드 쓸 때는
굳이 이 가격에 이거를 사는 그~,굳이 이 가격에 이거를 사는 그~
메리트를 모르겠다 하던데 펜슬 쓰니까 아~ 확실히 이게,메리트를 모르겠다 하던데 펜슬 쓰니까 아~ 확실히 이게
패드 꼭 필요하구나 필요하겠구나 싶더라고 말하더라고?,패드 꼭 필요하구나 필요하겠구나 싶더라고 말하더라고?
이게 그래서,이게 그래서
대학생들한테 인제 수업 들을 때 되게 좋을 거 같애.,대학생들한테 인제 수업 들을 때 되게 좋을 거 같애.
확실히 필기감도 되게 좋고,확실히 필기감도 되게 좋고
또 그냥 뭐 영상 보는 용도로도 좋긴 하지만,또 그냥 뭐 영상 보는 용도로도 좋긴 하지만
영상 보는 거는 이제 요즘 뭐 휴대폰도 잘 나와 있고 하니까,영상 보는 거는 이제 요즘 뭐 휴대폰도 잘 나와 있고 하니까
간편하게 보려면은 휴대폰을 보고,간편하게 보려면은 휴대폰을 보고
쓰는 용도로는 패드가 짱인 거 같애.,쓰는 용도로는 패드가 짱인 거 같애.
그래서 나도 프린터기 안 사고 패드로 계속 하고 있는데,그래서 나도 프린터기 안 사고 패드로 계속 하고 있는데
단점이라면은 인제 이게 아무래도 스크린이니까,단점이라면은 인제 이게 아무래도 스크린이니까
좀 눈이 아프다?,좀 눈이 아프다?
그건 있고,그건 있고
그 외에는 뭐 다른 뭐 종이에 쓰는 거 만큼이나 괜찮게 쓰는 거 같애.,그 외에는 뭐 다른 뭐 종이에 쓰는 거 만큼이나 괜찮게 쓰는 거 같애.
근데 확실히 인제 니가 그때 내가,근데 확실히 인제 니가 그때 내가
미니 살까 했었는데 그때 니가 큰 큰 거 사라고 막 했었잖아.,미니 살까 했었는데 그때 니가 큰 큰 거 사라고 막 했었잖아.
근데 확실히 써보니까 아~ 더 큰 거 살 걸 싶긴 하더라.,근데 확실히 써보니까 아~ 더 큰 거 살 걸 싶긴 하더라.
종이에 쓰는 느낌을 바라면은,종이에 쓰는 느낌을 바라면은
프로 중에서도 더 큰 거?,프로 중에서도 더 큰 거?
그거를 쓰는 게 제일 좋겠고,그거를 쓰는 게 제일 좋겠고
근데 에어도 인제,근데 에어도 인제
에어가 약간 프로랑 보급형 중간이라고 해서 샀는데,에어가 약간 프로랑 보급형 중간이라고 해서 샀는데
아직까지 쓰기에 그렇게 불편함을 못 느꼈던 거 같애.,아직까지 쓰기에 그렇게 불편함을 못 느꼈던 거 같애.
모양도 괜찮고,모양도 괜찮고
휨 영상 그~ 이제 패드가 휜다고 하는데,휨 영상 그~ 이제 패드가 휜다고 하는데
난 아직 휜 건 없어.,난 아직 휜 건 없어.
근데 좀 더 큰 걸로 갈수록 휘긴 휜다 하더라고?,근데 좀 더 큰 걸로 갈수록 휘긴 휜다 하더라고?
혹시 살 때,혹시 살 때
도움이 되고 되면 좋겠네.,도움이 되고 되면 좋겠네.
그~ 니가 패드 갖고 싶어했잖아.,그~ 니가 패드 갖고 싶어했잖아.
